sample,n,study,area.cov,tmb
s_GTEX-13X6H-1026,197,Gtex,37009796,5.32
s_GTEX-145ME-1226,405,Gtex,49127799,8.24
s_GTEX-146FH-2526,115,Gtex,21704210,5.3
s_GTEX-OHPK-2426-SM-3MJGH,450,Gtex,29339536,15.34
s_GTEX-OHPL-2426-SM-48TDN,185,Gtex,18071385,10.24
s_GTEX-P4PP-2426-SM-3P61L,236,Gtex,53070346,4.45
s_GTEX-P4QT-2426-SM-3NMCL,275,Gtex,52835468,5.2
s_GTEX-P78B-1926-SM-3P616,223,Gtex,52232213,4.27
s_GTEX-PLZ4-2826-SM-3P617,119,Gtex,26875366,4.43
s_GTEX-POMQ-1426-SM-3P61D,378,Gtex,49305214,7.67
s_GTEX-PWCY-1326-SM-48TCU,200,Gtex,37075013,5.39
s_GTEX-PWN1-2426-SM-48TDD,223,Gtex,41473422,5.38
s_GTEX-PWOO-1726-SM-48TDC,214,Gtex,38153875,5.61
s_GTEX-PX3G-2426-SM-48TZZ,198,Gtex,38860142,5.1
s_GTEX-Q734-0726-SM-48TZP,191,Gtex,44918257,4.25
s_GTEX-QCQG-1426-SM-48U22,199,Gtex,34348710,5.79
s_GTEX-QVJO-3126,236,Gtex,33202329,7.11
s_GTEX-R55G-1526-SM-48FER,208,Gtex,37014290,5.62
s_GTEX-RTLS-2326-SM-46MUH,121,Gtex,20538223,5.89
s_GTEX-RU1J-0826-SM-46MUU,424,Gtex,40341228,10.51
s_GTEX-RU72-2226-SM-46MUE,277,Gtex,37751098,7.34
s_GTEX-RWS6-1026-SM-47JXD,208,Gtex,35809077,5.81
s_GTEX-S32W-1226-SM-4AD67,210,Gtex,40174056,5.23
s_GTEX-S341-0726-SM-4AD5R,439,Gtex,42014926,10.45
s_GTEX-S4P3-0926-SM-4AD54,112,Gtex,20281477,5.52
s_GTEX-S4UY-1026-SM-4AD53,251,Gtex,37578091,6.68
s_GTEX-S7SF-1326-SM-4AD4P,237,Gtex,46017573,5.15
s_GTEX-T2IS-2026-SM-4DM6W,212,Gtex,33839108,6.26
s_GTEX-T5JW-0426-SM-4DM7M,125,Gtex,18693055,6.69
s_GTEX-T6MO-1126-SM-4DM5D,203,Gtex,34663880,5.86
s_GTEX-TML8-0926-SM-4DXSJ,153,Gtex,22884913,6.69
s_GTEX-TMMY-1726-SM-4DXTD,197,Gtex,38084817,5.17
s_GTEX-TSE9-2226-SM-4DXUR,260,Gtex,41502873,6.26
s_GTEX-U3ZN-1026-SM-4DXTC,224,Gtex,43002321,5.21
s_GTEX-UJHI-1226-SM-4IHLR,361,Gtex,38432011,9.39
s_GTEX-W5WG-0926,169,Gtex,33155930,5.1
s_GTEX-WEY5-0626-SM-4LMIA,204,Gtex,36872046,5.53
s_GTEX-WI4N-2526,92,Gtex,16671105,5.52
s_GTEX-WWYW-2726,978,Gtex,48961155,19.98
s_GTEX-WXYG-1426,207,Gtex,29829466,6.94
s_GTEX-WYBS-2426,271,Gtex,40879062,6.63
s_GTEX-WYVS-1526,217,Gtex,26609995,8.15
s_GTEX-X15G-1726,185,Gtex,35376111,5.23
s_GTEX-X4EO-2426,103,Gtex,18187290,5.66
s_GTEX-X8HC-2726-SM-46MUA,123,Gtex,18217151,6.75
s_GTEX-XMD3-2326-SM-4AT5H,280,Gtex,37600634,7.45
s_GTEX-XUJ4-1326-SM-4BOQ9,231,Gtex,30486779,7.58
s_GTEX-XUW1-0126-SM-4BOOQ,113,Gtex,22620282,5
s_GTEX-XUZC-1026-SM-4BOPY,218,Gtex,32989497,6.61
s_GTEX-XV7Q-1426-SM-4BRWA,185,Gtex,46981619,3.94
s_GTEX-XYKS-1726-SM-4E3IO,173,Gtex,19448875,8.9
s_GTEX-Y114-1726,468,Gtex,45263656,10.34
s_GTEX-Y3IK-2026,337,Gtex,46347874,7.27
s_GTEX-YB5K-1426,205,Gtex,25700580,7.98
s_GTEX-YFC4-2726,96,Gtex,23415161,4.1
s_GTEX-YJ8O-1026,221,Gtex,46963659,4.71
s_GTEX-ZAJG-2726,357,Gtex,20221596,17.65
s_GTEX-ZC5H-2026,87,Gtex,21777749,3.99
s_GTEX-ZLWG-0926,330,Gtex,21857336,15.1
s_GTEX-ZP4G-0626,212,Gtex,43639163,4.86
s_GTEX-ZPIC-1426,211,Gtex,44909111,4.7
s_GTEX-ZV6S-1426,214,Gtex,35677328,6
s_GTEX-ZVT2-0326,221,Gtex,45895277,4.82
s_GTEX-ZVT3-2626,103,Gtex,20183638,5.1
s_GTEX-ZYFG-1726,205,Gtex,39904605,5.14
s_GTEX-ZYWO-1926,195,Gtex,39145019,4.98
s_GTEX-ZYY3-2726,214,Gtex,40500219,5.28
s_GTEX-ZZPU-2126,57,Gtex,12666750,4.5
s_PH061,303,Mayo,45338474,6.68
s_PH065,252,Mayo,43091226,5.85
s_PH067,255,Mayo,44931325,5.68
s_PH070,191,Mayo,48923009,3.9
s_PH077,283,Mayo,44299436,6.39
s_PH079,110,Mayo,20042522,5.49
s_PH080,93,Mayo,23181322,4.01
s_PH081,431,Mayo,36962465,11.66
s_PH085,258,Mayo,46067910,5.6
s_PH087,95,Mayo,35693686,2.66
s_PH088,504,Mayo,43261234,11.65
s_PH091,229,Mayo,42732889,5.36
s_PH093,263,Mayo,45438769,5.79
s_PH095,130,Mayo,27540595,4.72
s_PH098,467,Mayo,19378728,24.1
s_PH103,96,Mayo,21632870,4.44
s_PH105,285,Mayo,48925317,5.83
s_PH108,236,Mayo,53015259,4.45
s_PH109,237,Mayo,43785098,5.41
s_PH115,220,Mayo,52429897,4.2
s_PH121,229,Mayo,47126155,4.86
s_PH122,189,Mayo,48725691,3.88
s_PH127,145,Mayo,26182613,5.54
s_PH129,212,Mayo,17045868,12.44
s_PH134,223,Mayo,50051229,4.46
s_PH136,157,Mayo,22547152,6.96
s_PH148,251,Mayo,45700430,5.49
s_PH154,128,Mayo,25312369,5.06
s_PH159,272,Mayo,40995855,6.63
s_PH160,101,Mayo,26069639,3.87
s_PH161,296,Mayo,50862788,5.82
s_PH163,71,Mayo,16582108,4.28
s_PH164,115,Mayo,27024753,4.26
s_PH165,233,Mayo,50306661,4.63
s_PH170,96,Mayo,14951822,6.42
s_PH171,123,Mayo,24398258,5.04
s_PH176,207,Mayo,53031059,3.9
s_PH181,256,Mayo,49231785,5.2
s_PH182,367,Mayo,50212129,7.31
s_PH183,267,Mayo,47680906,5.6
s_PH187,133,Mayo,27233153,4.88
s_PH193,246,Mayo,47196171,5.21
s_PH197,212,Mayo,45614147,4.65
s_PH199,129,Mayo,27986973,4.61
s_PH202,302,Mayo,50003811,6.04
s_PH207,132,Mayo,25470677,5.18
s_PH211,128,Mayo,20739784,6.17
s_PH213,275,Mayo,49942424,5.51
s_PH214,272,Mayo,53010523,5.13
s_PH221,235,Mayo,53066704,4.43
s_PH231,272,Mayo,49434512,5.5
s_PH232,72,Mayo,16897092,4.26
s_PH234,322,Mayo,49311053,6.53
s_PH235,204,Mayo,43615039,4.68
s_PH242,129,Mayo,24465029,5.27
s_PH247,90,Mayo,23837593,3.78
s_PH249,140,Mayo,17017515,8.23
s_PH257,260,Mayo,52041456,5
s_PH265,348,Mayo,51292736,6.78
s_PH276,255,Mayo,45041523,5.66
s_PH277,246,Mayo,48000869,5.12
s_PH278,244,Mayo,40706826,5.99
s_PH283,222,Mayo,52098680,4.26
s_PH291,20,Mayo,1025758,19.5
s_PH56,223,Mayo,22212199,10.04
