sample,n,study,area.cov,tmb
TCGA-25-1871,82,TCGA,23264415,3.52
TCGA-24-1928,283,TCGA,55646852,5.09
TCGA-36-1569,311,TCGA,55730258,5.58
TCGA-23-1111,80,TCGA,16770159,4.77
TCGA-24-1846,328,TCGA,56079624,5.85
TCGA-29-1762,175,TCGA,30499785,5.74
TCGA-24-1844,337,TCGA,52661991,6.4
TCGA-13-1501,598,TCGA,39078940,15.3
TCGA-13-1512,424,TCGA,42445041,9.99
TCGA-61-1917,544,TCGA,43346312,12.55
TCGA-09-2048,386,TCGA,44477790,8.68
TCGA-24-2026,284,TCGA,54143164,5.25
TCGA-25-1877,339,TCGA,34190576,9.92
TCGA-29-1777,468,TCGA,16403372,28.53
TCGA-61-1738,556,TCGA,37419581,14.86
TCGA-29-1768,996,TCGA,29873532,33.34
TCGA-24-1464,308,TCGA,13934089,22.1
TCGA-29-1761,1258,TCGA,40787273,30.84
TCGA-61-1733,118,TCGA,14398031,8.2
TCGA-29-1766,1093,TCGA,33501807,32.63
TCGA-20-1686,557,TCGA,17184958,32.41
TCGA-61-2101,183,TCGA,27268379,6.71
TCGA-61-2104,339,TCGA,55050512,6.16
TCGA-24-1923,479,TCGA,39634562,12.09
TCGA-61-1743,288,TCGA,63367143,4.54
TCGA-30-1857,1126,TCGA,36813528,30.59
TCGA-13-A5FT,160,TCGA,24229121,6.6
TCGA-OY-A56Q,484,TCGA,53873354,8.98
TCGA-59-A5PD,460,TCGA,51264255,8.97
TCGA-VG-A8LO,388,TCGA,56638511,6.85
TCGA-WR-A838,186,TCGA,28527492,6.52
TCGA-OY-A56P,448,TCGA,72206800,6.2
TCGA-5X-AA5U,466,TCGA,70373141,6.62
TCGA-29-A5NZ,439,TCGA,72648378,6.04
TCGA-3P-A9WA,403,TCGA,68290829,5.9
TCGA-10-0926,327,TCGA,45864348,7.13
TCGA-10-0938,340,TCGA,30661609,11.09
TCGA-13-0916,119,TCGA,29456792,4.04
TCGA-23-1027,587,TCGA,54750070,10.72
TCGA-23-1116,707,TCGA,30920290,22.87
TCGA-04-1337,299,TCGA,57268987,5.22
TCGA-20-0991,187,TCGA,16171365,11.56
TCGA-23-1032,873,TCGA,51500787,16.95
TCGA-23-1021,1856,TCGA,26419993,70.25
TCGA-10-0931,817,TCGA,50733468,16.1
TCGA-13-0760,239,TCGA,26337932,9.07
TCGA-09-0367,710,TCGA,41349869,17.17
TCGA-13-0726,759,TCGA,42954314,17.67
TCGA-13-0762,377,TCGA,32303403,11.67
TCGA-13-0795,381,TCGA,14652433,26
TCGA-13-0899,612,TCGA,53295494,11.48
TCGA-13-0765,665,TCGA,41622835,15.98
TCGA-13-0797,790,TCGA,48580777,16.26
TCGA-13-0919,808,TCGA,57076903,14.16
